module_name,transformer_layer,module_type,feature_dim,k,minimum,median,mean,maximum,q90,q95,q98,q99,q99_5,maximum_over_median,existing_topk_boundary,existing_topk_concentration,count_ge_1_2x_median,fraction_ge_1_2x_median,count_ge_1_5x_median,fraction_ge_1_5x_median,count_ge_2x_median,fraction_ge_2x_median,count_ge_3x_median,fraction_ge_3x_median,count_ge_4x_median,fraction_ge_4x_median,count_ge_8x_median,fraction_ge_8x_median,count_ge_16x_median,fraction_ge_16x_median
model.layers.3.mlp.down_proj,3,mlp.down_proj,5120,80,0.4725039005279541,0.5849107503890991,0.6012046337127686,16.002330780029297,0.6350956559181213,0.6772496700286865,0.743338942527771,0.8264771103858948,0.9538870453834534,27.358585509642445,0.7724140882492065,0.029473667964339256,180,0.03515625,41,0.0080078125,11,0.0021484375,2,0.000390625,1,0.0001953125,1,0.0001953125,1,0.0001953125
model.layers.3.self_attn.o_proj,3,self_attn.o_proj,5120,80,0.16563354432582855,0.35974031686782837,0.3774193227291107,4.985337257385254,0.4385329484939575,0.5031589865684509,0.5699601769447327,0.622840166091919,0.6891709566116333,13.858155518378856,0.594709575176239,0.030747370794415474,566,0.110546875,169,0.0330078125,22,0.004296875,2,0.000390625,1,0.0001953125,1,0.0001953125,0,0.0
model.layers.30.mlp.down_proj,30,mlp.down_proj,5120,80,1.499760627746582,4.458382606506348,4.436627388000488,19.72513198852539,4.634702205657959,4.69768762588501,4.774316787719727,4.833276271820068,4.905456066131592,4.424279773507884,4.803496360778809,0.018534481525421143,5,0.0009765625,2,0.000390625,2,0.000390625,2,0.000390625,2,0.000390625,0,0.0,0,0.0
model.layers.30.self_attn.o_proj,30,self_attn.o_proj,5120,80,1.1018688678741455,1.6752276420593262,1.7066879272460938,24.218852996826172,1.8843469619750977,1.9662989377975464,2.0932352542877197,2.1945197582244873,2.38075852394104,14.457051918660074,2.1399381160736084,0.026485376060009003,182,0.035546875,13,0.0025390625,5,0.0009765625,3,0.0005859375,3,0.0005859375,2,0.000390625,0,0.0
model.layers.31.mlp.down_proj,31,mlp.down_proj,5120,80,1.6502094268798828,4.812406539916992,4.776058673858643,24.6990966796875,5.041872024536133,5.121063709259033,5.225449562072754,5.316039562225342,5.391853332519531,5.13237950177699,5.26347017288208,0.01915104128420353,4,0.00078125,2,0.000390625,2,0.000390625,2,0.000390625,2,0.000390625,0,0.0,0,0.0
model.layers.31.self_attn.o_proj,31,self_attn.o_proj,5120,80,1.4657055139541626,2.1333401203155518,2.1743197441101074,14.538251876831055,2.41762638092041,2.5510756969451904,2.7313520908355713,2.8759939670562744,3.0362865924835205,6.814783886725309,2.792801856994629,0.023614617064595222,245,0.0478515625,14,0.002734375,3,0.0005859375,2,0.000390625,2,0.000390625,0,0.0,0,0.0
model.layers.32.mlp.down_proj,32,mlp.down_proj,5120,80,1.8770443201065063,5.2203264236450195,5.195538520812988,31.31616973876953,5.4354023933410645,5.504086494445801,5.599820613861084,5.684164524078369,5.745993614196777,5.9988911032317125,5.6265974044799805,0.019028032198548317,4,0.00078125,2,0.000390625,2,0.000390625,2,0.000390625,2,0.000390625,0,0.0,0,0.0
model.layers.32.self_attn.o_proj,32,self_attn.o_proj,5120,80,0.9829274415969849,1.966650366783142,1.9938850402832031,23.95261001586914,2.215752601623535,2.303378105163574,2.409348487854004,2.4716901779174805,2.535804033279419,12.179394172157057,2.4392614364624023,0.02332134172320366,154,0.030078125,2,0.000390625,2,0.000390625,2,0.000390625,2,0.000390625,2,0.000390625,0,0.0
model.layers.33.mlp.down_proj,33,mlp.down_proj,5120,80,1.5968269109725952,5.577463150024414,5.524317264556885,38.69668960571289,5.791027545928955,5.855605602264404,5.9508843421936035,6.034478664398193,6.169000625610352,6.9380448718058325,5.981254577636719,0.019370736554265022,5,0.0009765625,2,0.000390625,2,0.000390625,2,0.000390625,2,0.000390625,0,0.0,0,0.0
model.layers.33.self_attn.o_proj,33,self_attn.o_proj,5120,80,1.6838781833648682,2.6937835216522217,2.7304818630218506,23.43929100036621,3.0216033458709717,3.119710683822632,3.2588412761688232,3.3336668014526367,3.459961414337158,8.701252647796217,3.288465976715088,0.021984655410051346,121,0.0236328125,2,0.000390625,2,0.000390625,2,0.000390625,2,0.000390625,1,0.0001953125,0,0.0
model.layers.34.mlp.down_proj,34,mlp.down_proj,5120,80,1.8806227445602417,6.224639415740967,6.177271366119385,51.220401763916016,6.521155834197998,6.629378795623779,6.774107456207275,6.886200428009033,7.00759220123291,8.22865363644825,6.817487716674805,0.02065611444413662,9,0.0017578125,5,0.0009765625,2,0.000390625,2,0.000390625,2,0.000390625,1,0.0001953125,0,0.0
model.layers.34.self_attn.o_proj,34,self_attn.o_proj,5120,80,1.3026701211929321,2.801485538482666,2.8152072429656982,39.01518249511719,3.0202584266662598,3.0835702419281006,3.173968553543091,3.253312826156616,3.329643964767456,13.926604995522661,3.2019622325897217,0.02267559990286827,20,0.00390625,2,0.000390625,2,0.000390625,2,0.000390625,2,0.000390625,2,0.000390625,0,0.0
model.layers.35.mlp.down_proj,35,mlp.down_proj,5120,80,2.4145517349243164,7.267709255218506,7.263448238372803,62.3526496887207,7.713109016418457,7.905663967132568,8.20384693145752,8.477112770080566,8.821463584899902,8.579408930530484,8.287574768066406,0.022054320201277733,33,0.0064453125,5,0.0009765625,2,0.000390625,2,0.000390625,2,0.000390625,2,0.000390625,0,0.0
model.layers.35.self_attn.o_proj,35,self_attn.o_proj,5120,80,1.7593183517456055,3.0979573726654053,3.1151058673858643,34.5184326171875,3.3813111782073975,3.4834914207458496,3.6097848415374756,3.711475372314453,3.834247589111328,11.142320072496252,3.655336618423462,0.022586764767766,48,0.009375,5,0.0009765625,2,0.000390625,2,0.000390625,2,0.000390625,2,0.000390625,0,0.0
model.layers.36.mlp.down_proj,36,mlp.down_proj,5120,80,2.9347681999206543,8.56283187866211,8.602128982543945,83.97948455810547,9.289633750915527,9.588667869567871,9.974522590637207,10.397965431213379,10.848780632019043,9.807442881995104,10.11842155456543,0.02274470217525959,63,0.0123046875,6,0.001171875,3,0.0005859375,2,0.000390625,2,0.000390625,1,0.0001953125,0,0.0
